year,event_id,event_start_date,event_name,dg_id,player_name,p_win_raw,p_win_share,close_odds,p_odds_share,sg_total_L40,sg_total_L24,sg_total_L12,days_since_last_round,finish_num,pred_rank,p_win_pct,p_odds_pct
2026,2,2026-01-22,The American Express,18417,"Scheffler, Scottie",0.17374279286120808,0.10740101603170711,3.4,0.18918265137965753,2.99405,3.110625,2.4290833333333333,45,1.0,1,10.74,18.92
2026,2,2026-01-22,The American Express,23816,"Valimaki, Sami",0.06912673563403751,0.042731451013232086,131.0,0.004910084081609431,1.16205,1.4202083333333333,2.7261666666666673,59,,2,4.27,0.49
2026,2,2026-01-22,The American Express,24968,"Griffin, Ben",0.06594199886839522,0.04076277099611764,19.0,0.03385373761530713,1.7943500000000001,1.991583333333333,2.0534166666666667,3,24.0,3,4.08,3.39
2026,2,2026-01-22,The American Express,17646,"Fitzpatrick, Matt",0.0533143140126459,0.032956828883059286,31.0,0.020749064990026954,1.931775,2.178541666666667,1.5849166666666665,66,63.0,4,3.3,2.07
2026,2,2026-01-22,The American Express,14609,"Kim, Si Woo",0.03493323091931206,0.021594360446372494,36.0,0.017867250408078766,1.0635249999999998,1.4620833333333334,1.7194166666666668,3,6.0,5,2.16,1.79
2026,2,2026-01-22,The American Express,10419,"Noren, Alex",0.03232017216907157,0.019979069474559,46.0,0.013983065536757294,1.707675,1.3785833333333333,1.4175833333333332,45,,6,2.0,1.4
2026,2,2026-01-22,The American Express,23838,"Hojgaard, Rasmus",0.030971846420375683,0.01914558710117888,46.0,0.013983065536757294,1.6186,1.547125,1.2908333333333335,66,44.0,7,1.91,1.4
2026,2,2026-01-22,The American Express,14578,"Henley, Russell",0.03097025802824931,0.019144605219136926,23.0,0.02796613107351459,1.3990500000000001,1.4094166666666668,1.4433333333333336,3,8.0,8,1.91,2.8
2026,2,2026-01-22,The American Express,23505,"McGreevy, Max",0.028266287635245337,0.017473116216653407,301.0,0.0021369468926605833,0.759025,1.2709583333333334,1.6818333333333335,5,27.0,9,1.75,0.21
2026,2,2026-01-22,The American Express,12965,"Fowler, Rickie",0.02793994682000551,0.01727138505674641,51.0,0.012612176758643835,1.093225,1.5030833333333335,1.3654166666666667,157,18.0,10,1.73,1.26
