season,event_id,event_name,username,dg_id,player_name,ts,finish_num,finish_text,winnings
2025,6,01 — Sony Open in Hawaii,You,13872,"Bradley, Keegan",2026-01-10T23:21:55,6.0,T6,283838.0
2025,2,02 — The American Express,You,14139,"Thomas, Justin",2026-01-10T23:28:21,2.0,2,959200.0
2025,4,03 — Farmers Insurance Open,You,9771,"Day, Jason",2026-01-10T23:30:17,32.0,T32,52080.0
2025,5,04 — AT&T Pebble Beach Pro-Am,You,15466,"Cantlay, Patrick",2026-01-10T23:31:55,33.0,T33,99000.0
2025,3,05 — WM Phoenix Open,You,13126,"Taylor, Nick",2026-01-10T23:34:03,25.0,T25,69197.0
2025,7,06 — Genesis Invitational,You,13562,"Matsuyama, Hideki",2026-01-10T23:39:48,13.0,T13,384250.0
2025,540,07 — Mexico Open,You,16283,"Rodgers, Patrick",2026-01-10T23:45:19,25.0,T25,59350.0
2025,10,08 — Cognizant Classic,You,17511,"Straka, Sepp",2026-01-10T23:48:21,11.0,T11,184986.0
2025,9,09 — Arnold Palmer Invitational,You,18417,"Scheffler, Scottie",2026-01-10T23:51:01,11.0,T11,451250.0
2025,11,10 — The Players Championship,You,10091,"McIlroy, Rory",2026-01-10T23:52:39,1.0,1,4500000.0
2025,475,11 — Valspar Championship,You,12294,"Fleetwood, Tommy",2026-01-10T23:54:24,16.0,T16,128325.0
2025,20,12 — Texas Children's Houston Open,You,16394,"Jaeger, Stephan",2026-01-10T23:57:37,11.0,T11,211375.0
2025,41,13 — Valero Texas Open,You,17576,"Conners, Corey",2026-01-10T23:59:05,18.0,T18,113050.0
2025,14,14 — Masters Tournament,You,19195,"Rahm, Jon",2026-01-11T00:00:40,14.0,T14,336000.0
2025,12,15 — RBC Heritage,You,22085,"Morikawa, Collin",2026-01-11T00:02:12,54.0,T54,44500.0
2025,19,16 — CJ Cup Byron Nelson,You,14636,"Spieth, Jordan",2026-01-11T00:04:03,4.0,4,485100.0
2025,480,17 — Truist Championship,You,14578,"Henley, Russell",2026-01-11T00:05:27,46.0,T46,53600.0
2025,33,18 — PGA Championship,You,19841,"DeChambeau, Bryson",2026-01-11T00:06:16,2.0,T2,1418667.0
2025,21,19 — Charles Schwab Challenge,You,17606,"Berger, Daniel",2026-01-11T00:07:41,,CUT,0.0
2025,23,20 — Memorial Tournament,You,19895,"Schauffele, Xander",2026-01-11T00:09:25,25.0,T25,159000.0
2025,32,21 — RBC Canadian Open,You,13900,"Lowry, Shane",2026-01-11T00:11:38,13.0,T13,180810.0
2025,26,22 — U.S. Open,You,19483,"Burns, Sam",2026-01-11T00:14:05,7.0,T7,615786.0
2025,34,23 — Travelers Championship,You,24968,"Griffin, Ben",2026-01-11T00:17:26,14.0,T14,360000.0
2025,524,24 — Rocket Classic,You,27194,"Hall, Harry",2026-01-11T00:23:44,13.0,T13,172000.0
2025,30,25 — John Deere Classic,You,19870,"McCarthy, Denny",2026-01-11T00:25:29,11.0,T11,174300.0
2025,541,26 — Genesis Scottish Open,You,23323,"MacIntyre, Robert",2026-01-11T00:27:34,65.0,T65,19800.0
2025,100,27 — The Open Championship,You,14796,"Hatton, Tyrrell",2026-01-11T00:29:32,16.0,T16,185257.0
2025,525,28 — 3M Open,You,18634,"McNealy, Maverick",2026-01-11T00:31:32,,CUT,0.0
2025,13,29 — Wyndham Championship,You,17646,"Fitzpatrick, Matt",2026-01-11T00:33:59,8.0,T8,257617.0
2025,27,30 — FedEx St. Jude Championship,You,23950,"Aberg, Ludvig",2026-01-11T00:37:04,9.0,T9,501000.0
2025,28,31 — BMW Championship,You,18841,"Hovland, Viktor",2026-01-11T00:40:59,7.0,T7,645000.0
