course_num,course_name,imp_dist,imp_acc,imp_app,imp_arg,imp_putt,r2,n_obs,n_events,n_players,target_season
4,Torrey Pines Golf Course (South Course),0.46296296296296297,0.018518518518518517,0.2037037037037037,0.3148148148148148,0.2777777777777778,0.11500352239482292,715,1,435,2026
5,Pebble Beach Golf Links,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.2037037037037037,0.018518518518518517,0.08423810213798932,549,1,391,2026
6,Waialae Country Club,0.12962962962962962,0.24074074074074073,0.9444444444444444,0.7962962962962963,0.6481481481481481,0.17530328746105628,548,1,409,2026
9,Arnold Palmer's Bay Hill Club & Lodge,0.9814814814814815,0.6481481481481481,0.42592592592592593,0.9074074074074074,0.7222222222222222,0.18458163566395325,428,1,322,2026
11,TPC Sawgrass (THE PLAYERS Stadium Course),0.8333333333333334,0.8703703703703703,0.8333333333333334,0.9444444444444444,0.5370370370370371,0.19332681655104733,471,1,344,2026
12,Harbour Town Golf Links,0.5740740740740741,0.7962962962962963,0.46296296296296297,0.7222222222222222,0.3148148148148148,0.13705273853060296,451,1,323,2026
14,Augusta National Golf Club,0.5370370370370371,0.6851851851851852,0.5740740740740741,0.8703703703703703,0.42592592592592593,0.22604546206950704,291,2,166,2026
21,Colonial Country Club,0.42592592592592593,0.7592592592592593,0.5,0.5,0.8703703703703703,0.14819695154713752,559,1,359,2026
23,Muirfield Village Golf Club,0.5,0.2777777777777778,0.6851851851851852,0.6111111111111112,0.3888888888888889,0.13315096639186708,546,1,303,2026
500,The Riviera Country Club,0.3888888888888889,0.05555555555555555,0.2777777777777778,0.2777777777777778,0.6851851851851852,0.13274528894778093,649,1,312,2026
503,TPC River Highlands,0.6851851851851852,0.9814814814814815,0.8703703703703703,0.3888888888888889,0.6111111111111112,0.17874363561715445,387,1,387,2026
510,TPC Scottsdale (Stadium Course),0.9444444444444444,0.5740740740740741,0.7222222222222222,0.9814814814814815,0.7962962962962963,0.18522594285167948,590,1,345,2026
513,TPC Southwind,0.018518518518518517,0.3148148148148148,0.5370370370370371,0.12962962962962962,0.2037037037037037,0.12132834671986026,482,3,344,2026
534,Bellerive CC,0.16666666666666666,0.09259259259259259,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.14289748435279082,132,1,132,2026
665,Innisbrook Resort (Copperhead Course),0.2037037037037037,0.35185185185185186,0.7962962962962963,0.5370370370370371,0.7592592592592593,0.16650040306616143,586,1,437,2026
669,TPC Deere Run,0.8703703703703703,0.9074074074074074,0.9814814814814815,0.7592592592592593,0.9814814814814815,0.24174133853989044,433,1,433,2026
704,Pete Dye Stadium Course,0.09259259259259259,0.12962962962962962,0.12962962962962962,0.09259259259259259,0.09259259259259259,0.06834977920939589,842,1,431,2026
734,Cognizant Classic in The Palm Beaches,0.6481481481481481,0.6111111111111112,0.3888888888888889,0.42592592592592593,0.46296296296296297,0.12586808594743149,460,1,357,2026
752,Sedgefield Country Club,0.24074074074074073,0.8333333333333334,0.6111111111111112,0.6851851851851852,0.8333333333333334,0.1444806236904188,611,1,463,2026
770,TPC San Antonio (Oaks Course),0.35185185185185186,0.42592592592592593,0.24074074074074073,0.6481481481481481,0.35185185185185186,0.1129803482115177,591,1,450,2026
872,Quail Hollow Club,0.7962962962962963,0.5,0.6481481481481481,0.5740740740740741,0.16666666666666666,0.18332331096610766,318,1,318,2026
876,Detroit Golf Club,0.7592592592592593,0.7222222222222222,0.3148148148148148,0.35185185185185186,0.5740740740740741,0.1515368887878752,517,1,406,2026
883,TPC Twin Cities,0.7222222222222222,0.9444444444444444,0.9074074074074074,0.8333333333333334,0.9444444444444444,0.226547823020829,404,1,404,2026
894,TPC Craig Ranch,0.2777777777777778,0.2037037037037037,0.09259259259259259,0.24074074074074073,0.24074074074074073,0.16411534576670173,227,1,227,2026
897,Memorial Park Golf Course,0.6111111111111112,0.3888888888888889,0.35185185185185186,0.46296296296296297,0.5,0.15458823388801102,596,1,334,2026
935,TPC Toronto at Osprey Valley (North Course),0.3148148148148148,0.46296296296296297,0.05555555555555555,0.05555555555555555,0.12962962962962962,0.17606991084168888,134,1,134,2026
977,The Renaissance Club,0.9074074074074074,0.5370370370370371,0.7592592592592593,0.16666666666666666,0.9074074074074074,0.25508098344569785,211,1,211,2026
